STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,61448,1,1,0,0,June,Sunday,3,0,0,1
California,61449,2,2,0,0,June,Sunday,9,1,0,1
California,61450,1,1,0,1,June,Tuesday,1,0,0,1
California,61451,1,1,0,0,September,Sunday,9,0,0,1
California,61452,1,1,0,1,August,Tuesday,1,0,0,1
California,61453,2,2,0,0,August,Thrusday,9,6,0,1
California,61454,1,1,0,1,July,Saturday,9,0,1,1
California,61455,2,2,0,0,June,Friday,3,1,0,1
California,61456,3,3,0,0,July,Monday,2,9,1,1
California,61457,2,2,0,0,July,Monday,3,1,0,1
California,61458,1,1,0,0,September,Thrusday,3,0,0,1
California,61459,1,1,0,1,August,Friday,3,0,0,1
California,61460,2,2,0,0,September,Thrusday,3,0,0,1
California,61461,2,2,0,0,April,Sunday,9,2,1,3
California,61462,1,1,0,0,September,Sunday,9,0,1,1
California,61463,1,1,0,0,March,Monday,3,0,1,1
California,61464,2,2,0,0,August,Friday,3,6,0,1
California,61465,2,2,0,0,August,Tuesday,9,2,0,2
California,61466,1,1,0,1,August,Thrusday,3,0,0,1
California,61467,2,2,0,0,September,Friday,3,2,2,1
California,61468,2,2,0,0,June,Thrusday,9,6,0,1
California,61469,1,1,0,0,August,Sunday,9,0,0,1
California,61470,3,3,0,0,July,Sunday,9,6,0,1
California,61471,1,1,0,0,April,Wednesday,9,0,0,1
California,61472,2,1,1,0,August,Monday,1,0,0,1
California,61473,1,1,0,1,August,Friday,9,0,0,1
California,61474,1,1,0,0,September,Monday,3,0,1,1
California,61475,1,1,0,1,August,Friday,9,0,0,1
California,61476,2,2,0,0,September,Monday,3,6,0,1
California,61477,1,1,0,1,May,Wednesday,3,0,0,1
California,61478,1,1,0,1,March,Friday,9,0,0,1
California,61479,1,1,0,1,April,Sunday,9,0,0,1
California,61480,1,1,0,1,June,Thrusday,9,0,0,1
California,61481,1,1,0,1,June,Saturday,9,0,1,1
California,61483,1,1,0,0,August,Friday,9,0,0,1
California,61484,2,2,0,0,August,Thrusday,3,6,0,1
California,61485,1,1,0,0,July,Sunday,3,0,0,2
California,61486,2,2,0,0,September,Monday,3,2,0,1
California,61487,1,1,0,1,September,Friday,9,0,0,1
California,61488,2,2,0,0,July,Sunday,1,7,0,2
California,61489,3,3,0,1,June,Tuesday,9,0,0,1
California,61490,1,1,0,1,July,Monday,9,0,0,1
California,61491,1,1,0,0,April,Friday,9,0,1,1
California,61492,1,1,0,0,September,Tuesday,9,0,0,1
California,61493,2,2,0,0,July,Monday,3,2,1,1
California,61494,2,2,0,0,September,Friday,1,1,0,3
California,61495,1,1,0,0,July,Saturday,9,0,1,1
California,61496,2,2,0,0,July,Sunday,3,2,1,1
California,61497,1,1,0,1,August,Tuesday,9,0,0,1
California,61498,1,1,0,1,June,Saturday,9,0,0,1
California,61499,1,1,0,1,July,Friday,9,0,0,1
California,61500,1,1,0,0,September,Sunday,9,0,0,1
California,61501,1,1,0,1,September,Wednesday,9,0,0,1
California,61502,1,1,0,1,September,Saturday,9,0,0,1
California,61503,1,1,0,1,July,Tuesday,3,0,0,1
California,61504,1,1,0,1,July,Tuesday,9,0,0,1
California,61505,1,1,0,1,July,Thrusday,9,0,0,1
California,61506,1,1,0,1,July,Friday,9,0,1,1
California,61507,1,1,0,1,July,Sunday,9,0,0,1
California,61508,1,1,0,1,September,Monday,6,0,0,1
California,61509,3,1,2,0,August,Friday,6,0,0,1
California,61510,1,1,0,1,September,Saturday,9,0,0,1
California,61511,1,1,0,1,July,Sunday,9,0,0,1
California,61512,3,3,0,0,August,Friday,3,1,0,1
California,61513,2,2,0,0,July,Friday,9,2,0,1
California,61514,1,1,0,1,July,Wednesday,9,0,1,1
California,61515,1,1,0,1,August,Thrusday,9,0,0,1
California,61516,2,2,0,0,July,Tuesday,9,2,0,2
California,61517,2,2,0,0,June,Thrusday,3,0,0,1
California,61518,1,1,0,1,May,Friday,9,0,0,1
California,61519,2,2,0,0,April,Wednesday,3,6,0,1
California,61520,1,1,0,1,July,Tuesday,9,0,0,1
California,61521,4,3,1,0,July,Sunday,6,6,0,1
California,61522,2,2,0,0,August,Saturday,9,6,0,1
California,61523,1,1,0,1,May,Saturday,3,0,0,1
California,61524,2,2,0,0,July,Monday,9,6,0,1
California,61525,1,1,0,1,September,Monday,9,0,0,1
California,61526,1,1,0,1,August,Saturday,9,0,0,1
California,61527,1,1,0,1,August,Saturday,9,0,0,1
California,61528,2,2,0,0,August,Friday,9,2,1,1
California,61529,2,2,0,0,April,Saturday,1,2,0,1
California,61530,1,1,0,2,August,Tuesday,9,0,0,1
California,61531,2,2,0,0,June,Thrusday,9,6,0,1
